"!#TEXT#!"," 221743!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297841","        1416.78#$#font-bold=true#$#font-size=10#$#column-width=15","         226.69#$#font-bold=true#$#font-size=10#$#column-width=15","        1643.47#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221744!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297840","         639.57#$#font-bold=true#$#font-size=10#$#column-width=15","         102.32#$#font-bold=true#$#font-size=10#$#column-width=15","         741.89#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221745!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297836","          14.07#$#font-bold=true#$#font-size=10#$#column-width=15","           2.25#$#font-bold=true#$#font-size=10#$#column-width=15","          16.32#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221746!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297844","         100.55#$#font-bold=true#$#font-size=10#$#column-width=15","          16.09#$#font-bold=true#$#font-size=10#$#column-width=15","         116.64#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221747!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297848","         100.55#$#font-bold=true#$#font-size=10#$#column-width=15","          16.09#$#font-bold=true#$#font-size=10#$#column-width=15","         116.64#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221748!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297846","         141.87#$#font-bold=true#$#font-size=10#$#column-width=15","          22.70#$#font-bold=true#$#font-size=10#$#column-width=15","         164.57#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221749!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297798","         177.63#$#font-bold=true#$#font-size=10#$#column-width=15","          28.43#$#font-bold=true#$#font-size=10#$#column-width=15","         206.06#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221750!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297799","         508.40#$#font-bold=true#$#font-size=10#$#column-width=15","          81.32#$#font-bold=true#$#font-size=10#$#column-width=15","         589.72#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221751!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297851","         361.06#$#font-bold=true#$#font-size=10#$#column-width=15","          57.77#$#font-bold=true#$#font-size=10#$#column-width=15","         418.83#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221752!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297854","          30.30#$#font-bold=true#$#font-size=10#$#column-width=15","           4.85#$#font-bold=true#$#font-size=10#$#column-width=15","          35.15#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221753!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297855","          79.60#$#font-bold=true#$#font-size=10#$#column-width=15","          12.73#$#font-bold=true#$#font-size=10#$#column-width=15","          92.33#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
